"schedule_id","travel_date","season","is_holiday","day_of_week","is_weekend","origin","destination","distance_km","travel_time_hrs","base_fare_inr","bus_type","total_seats","cost_per_km","fixed_cost_inr","departure_hour","passengers_booked","occupancy_rate","seats_available","fare_multiplier","actual_fare_inr","total_revenue_inr","variable_cost_inr","total_cost_inr","profit_inr","profit_margin_pct","revenue_per_km","cost_per_seat_km","load_factor","delay_occurred","delay_minutes","on_time"
"SCH0045",2024-11-11,"Festive",FALSE,"Monday",FALSE,"BENGALURU","CHENNAI KILAMBAKKAM KCBT",346,6.29,680,"Volvo AC Sleeper",36,28,3500,8,34,0.944,2,1.487,1010,34340,9688,13188,21152,61.6,99.25,1.0588,0.944,FALSE,0,TRUE
"SCH0046",2024-11-15,"Festive",TRUE,"Friday",FALSE,"CHENNAI KILAMBAKKAM KCBT","MADURAI",463,8.42,740,"Volvo AC Seater",44,20,2500,20,43,0.977,1,1.312,970,41710,9260,11760,29950,71.81,90.09,0.5773,0.977,FALSE,0,TRUE
"SCH0047",2024-11-02,"Festive",FALSE,"Saturday",TRUE,"CHENNAI KILAMBAKKAM KCBT","TIRUNELVELI",631,11.47,1020,"Volvo AC Seater",44,20,2500,17,42,0.955,2,1.434,1465,61530,12620,15120,46410,75.43,97.51,0.5446,0.955,FALSE,0,TRUE
"SCH0048",2025-01-19,"Winter",FALSE,"Sunday",TRUE,"CHENNAI KILAMBAKKAM KCBT","COIMBATORE",497,9.04,825,"Volvo AC Semi-Sleeper",40,24,3000,17,31,0.775,9,1.189,980,30380,11928,14928,15452,50.86,61.13,0.7509,0.775,FALSE,0,TRUE
"SCH0049",2024-12-06,"Winter",FALSE,"Friday",FALSE,"BENGALURU","CHENNAI KILAMBAKKAM KCBT",346,6.29,680,"Volvo AC Sleeper",36,28,3500,5,26,0.722,10,1.059,720,18720,9688,13188,5532,29.55,54.1,1.0588,0.722,FALSE,0,TRUE
"SCH0050",2024-11-30,"Festive",FALSE,"Saturday",TRUE,"CHENNAI KILAMBAKKAM KCBT","TIRUPPUR",480,8.73,750,"Volvo AC Sleeper",36,28,3500,18,34,0.944,2,1.328,995,33830,13440,16940,16890,49.93,70.48,0.9803,0.944,FALSE,0,TRUE
"SCH0051",2025-01-31,"Winter",FALSE,"Friday",FALSE,"CHENNAI KILAMBAKKAM KCBT","TIRUCHENDUR",630,11.45,1050,"Volvo AC Semi-Sleeper",40,24,3000,14,22,0.55,18,1.019,1070,23540,15120,18120,5420,23.02,37.37,0.719,0.55,TRUE,71,FALSE
"SCH0052",2024-10-08,"Festive",FALSE,"Tuesday",FALSE,"NAGERCOIL","MADURAI",241,4.38,420,"Volvo AC Semi-Sleeper",40,24,3000,20,31,0.775,9,1.26,530,16430,5784,8784,7646,46.54,68.17,0.9112,0.775,FALSE,0,TRUE
"SCH0053",2024-09-21,"Normal",FALSE,"Saturday",TRUE,"TIRUNELVELI","TRICHY",315,5.73,510,"Volvo AC Sleeper",36,28,3500,20,26,0.722,10,1.094,560,14560,8820,12320,2240,15.38,46.22,1.0864,0.722,FALSE,0,TRUE
"SCH0054",2024-10-11,"Festive",FALSE,"Friday",FALSE,"NAGERCOIL","TIRUNELVELI",84,1.53,145,"Volvo AC Semi-Sleeper",40,24,3000,19,34,0.85,6,1.211,175,5950,2016,5016,934,15.7,70.83,1.4929,0.85,FALSE,0,TRUE
"SCH0055",2025-02-22,"Winter",FALSE,"Saturday",TRUE,"THANJAVUR","TRICHY",77,1.4,120,"Volvo AC Sleeper",36,28,3500,5,26,0.722,10,1.073,130,3380,2156,5656,-2276,-67.34,43.9,2.0404,0.722,FALSE,0,TRUE
"SCH0056",2024-11-29,"Festive",FALSE,"Friday",FALSE,"CHENNAI KILAMBAKKAM KCBT","TIRUCHENDUR",630,11.45,1050,"Volvo AC Semi-Sleeper",40,24,3000,21,30,0.75,10,1.265,1330,39900,15120,18120,21780,54.59,63.33,0.719,0.75,FALSE,0,TRUE
"SCH0057",2024-10-30,"Festive",FALSE,"Wednesday",FALSE,"CHENNAI KILAMBAKKAM KCBT","NAGERCOIL",680,12.36,1145,"Volvo AC Sleeper",36,28,3500,5,31,0.861,5,1.261,1445,44795,19040,22540,22255,49.68,65.88,0.9208,0.861,FALSE,0,TRUE
"SCH0058",2024-09-16,"Normal",FALSE,"Monday",FALSE,"NAGERCOIL","MADURAI",241,4.38,420,"Volvo AC Sleeper",36,28,3500,18,25,0.694,11,1.114,470,11750,6748,10248,1502,12.78,48.76,1.1812,0.694,FALSE,0,TRUE
"SCH0059",2024-12-25,"Winter",TRUE,"Wednesday",FALSE,"MADURAI","TRICHY",135,2.45,220,"Volvo AC Sleeper",36,28,3500,19,34,0.944,2,1.397,305,10370,3780,7280,3090,29.8,76.81,1.4979,0.944,FALSE,0,TRUE
"SCH0060",2024-12-03,"Winter",FALSE,"Tuesday",FALSE,"NAGERCOIL","MADURAI",241,4.38,420,"Volvo AC Semi-Sleeper",40,24,3000,20,29,0.725,11,1.023,430,12470,5784,8784,3686,29.56,51.74,0.9112,0.725,FALSE,0,TRUE
"SCH0061",2024-09-06,"Normal",FALSE,"Friday",FALSE,"TIRUNELVELI","TRICHY",315,5.73,510,"Volvo AC Semi-Sleeper",40,24,3000,10,30,0.75,10,1.266,645,19350,7560,10560,8790,45.43,61.43,0.8381,0.75,FALSE,0,TRUE
"SCH0062",2024-11-25,"Festive",FALSE,"Monday",FALSE,"CHENNAI KILAMBAKKAM KCBT","TRICHY",336,6.11,530,"Volvo AC Sleeper",36,28,3500,17,32,0.889,4,1.241,660,21120,9408,12908,8212,38.88,62.86,1.0671,0.889,FALSE,0,TRUE
"SCH0063",2024-11-25,"Festive",FALSE,"Monday",FALSE,"CHENNAI KILAMBAKKAM KCBT","TIRUPPUR",480,8.73,750,"Volvo AC Sleeper",36,28,3500,21,32,0.889,4,1.209,905,28960,13440,16940,12020,41.51,60.33,0.9803,0.889,FALSE,0,TRUE
"SCH0064",2024-10-09,"Festive",FALSE,"Wednesday",FALSE,"MADURAI","TRICHY",135,2.45,220,"Volvo AC Semi-Sleeper",40,24,3000,14,36,0.9,4,1.468,325,11700,3240,6240,5460,46.67,86.67,1.1556,0.9,FALSE,0,TRUE
"SCH0065",2025-02-06,"Winter",FALSE,"Thursday",FALSE,"CHENNAI KILAMBAKKAM KCBT","TIRUNELVELI",631,11.47,1020,"Volvo AC Seater",44,20,2500,17,29,0.659,15,1.107,1130,32770,12620,15120,17650,53.86,51.93,0.5446,0.659,FALSE,0,TRUE
"SCH0066",2024-12-27,"Winter",FALSE,"Friday",FALSE,"CHENNAI KILAMBAKKAM KCBT","TIRUCHENDUR",630,11.45,1050,"Volvo AC Sleeper",36,28,3500,17,26,0.722,10,1.106,1160,30160,17640,21140,9020,29.91,47.87,0.9321,0.722,FALSE,0,TRUE
"SCH0067",2024-10-20,"Festive",FALSE,"Sunday",TRUE,"NAGERCOIL","TRICHY",395,7.18,650,"Volvo AC Seater",44,20,2500,17,44,1,0,1.414,920,40480,7900,10400,30080,74.31,102.48,0.5984,1,FALSE,0,TRUE
"SCH0068",2024-10-04,"Festive",FALSE,"Friday",FALSE,"TIRUNELVELI","MADURAI",175,3.18,280,"Volvo AC Sleeper",36,28,3500,18,30,0.833,6,1.243,350,10500,4900,8400,2100,20,60,1.3333,0.833,FALSE,0,TRUE
"SCH0069",2024-09-04,"Normal",FALSE,"Wednesday",FALSE,"TIRUCHENDUR","MADURAI",195,3.55,320,"Volvo AC Sleeper",36,28,3500,19,23,0.639,13,1.03,330,7590,5460,8960,-1370,-18.05,38.92,1.2764,0.639,FALSE,0,TRUE
"SCH0070",2024-09-13,"Normal",FALSE,"Friday",FALSE,"COIMBATORE","SALEM",165,3,295,"Volvo AC Semi-Sleeper",40,24,3000,14,23,0.575,17,1.065,315,7245,3960,6960,285,3.93,43.91,1.0545,0.575,FALSE,0,TRUE
"SCH0071",2024-11-08,"Festive",FALSE,"Friday",FALSE,"CHENNAI KILAMBAKKAM KCBT","TIRUCHENDUR",630,11.45,1050,"Volvo AC Semi-Sleeper",40,24,3000,17,36,0.9,4,1.471,1545,55620,15120,18120,37500,67.42,88.29,0.719,0.9,FALSE,0,TRUE
"SCH0072",2025-01-05,"Winter",FALSE,"Sunday",TRUE,"TIRUNELVELI","MADURAI",175,3.18,280,"Volvo AC Semi-Sleeper",40,24,3000,6,33,0.825,7,1.266,355,11715,4200,7200,4515,38.54,66.94,1.0286,0.825,TRUE,46,FALSE
"SCH0073",2025-01-31,"Winter",FALSE,"Friday",FALSE,"CHENNAI KILAMBAKKAM KCBT","MADURAI",463,8.42,740,"Volvo AC Seater",44,20,2500,6,34,0.773,10,1.263,935,31790,9260,11760,20030,63.01,68.66,0.5773,0.773,FALSE,0,TRUE
"SCH0074",2024-10-22,"Festive",FALSE,"Tuesday",FALSE,"CHENNAI KILAMBAKKAM KCBT","THANJAVUR",347,6.31,545,"Volvo AC Sleeper",36,28,3500,14,29,0.806,7,1.251,680,19720,9716,13216,6504,32.98,56.83,1.058,0.806,FALSE,0,TRUE
"SCH0075",2024-09-22,"Normal",FALSE,"Sunday",TRUE,"CHENNAI KILAMBAKKAM KCBT","TIRUCHENDUR",630,11.45,1050,"Volvo AC Semi-Sleeper",40,24,3000,21,30,0.75,10,1.233,1295,38850,15120,18120,20730,53.36,61.67,0.719,0.75,FALSE,0,TRUE
"SCH0076",2024-11-28,"Festive",FALSE,"Thursday",FALSE,"CHENNAI KILAMBAKKAM KCBT","NAGERCOIL",680,12.36,1145,"Volvo AC Sleeper",36,28,3500,18,29,0.806,7,1.24,1420,41180,19040,22540,18640,45.26,60.56,0.9208,0.806,TRUE,38,FALSE
"SCH0077",2025-02-07,"Winter",FALSE,"Friday",FALSE,"CHENNAI KILAMBAKKAM KCBT","TRICHY",336,6.11,530,"Volvo AC Semi-Sleeper",40,24,3000,21,29,0.725,11,1.073,570,16530,8064,11064,5466,33.07,49.2,0.8232,0.725,FALSE,0,TRUE
"SCH0078",2024-09-25,"Normal",FALSE,"Wednesday",FALSE,"TIRUCHENDUR","MADURAI",195,3.55,320,"Volvo AC Sleeper",36,28,3500,14,27,0.75,9,1.224,390,10530,5460,8960,1570,14.91,54,1.2764,0.75,FALSE,0,TRUE
"SCH0079",2024-10-05,"Festive",FALSE,"Saturday",TRUE,"THANJAVUR","TRICHY",77,1.4,120,"Volvo AC Sleeper",36,28,3500,6,33,0.917,3,1.495,180,5940,2156,5656,284,4.78,77.14,2.0404,0.917,FALSE,0,TRUE
"SCH0080",2025-02-15,"Winter",FALSE,"Saturday",TRUE,"CHENNAI KILAMBAKKAM KCBT","TIRUNELVELI",631,11.47,1020,"Volvo AC Semi-Sleeper",40,24,3000,8,34,0.85,6,1.16,1185,40290,15144,18144,22146,54.97,63.85,0.7189,0.85,FALSE,0,TRUE
"SCH0081",2024-12-21,"Winter",FALSE,"Saturday",TRUE,"TIRUPPUR","SALEM",132,2.4,210,"Volvo AC Semi-Sleeper",40,24,3000,7,30,0.75,10,1.233,260,7800,3168,6168,1632,20.92,59.09,1.1682,0.75,FALSE,0,TRUE
"SCH0082",2024-09-30,"Normal",FALSE,"Monday",FALSE,"CHENNAI KILAMBAKKAM KCBT","MADURAI",463,8.42,740,"Volvo AC Sleeper",36,28,3500,18,22,0.611,14,1.082,800,17600,12964,16464,1136,6.45,38.01,0.9878,0.611,FALSE,0,TRUE
"SCH0083",2025-01-18,"Winter",FALSE,"Saturday",TRUE,"MADURAI","TRICHY",135,2.45,220,"Volvo AC Sleeper",36,28,3500,19,30,0.833,6,1.194,265,7950,3780,7280,670,8.43,58.89,1.4979,0.833,TRUE,38,FALSE
"SCH0084",2025-02-06,"Winter",FALSE,"Thursday",FALSE,"TIRUPPUR","SALEM",132,2.4,210,"Volvo AC Seater",44,20,2500,22,30,0.682,14,1.034,215,6450,2640,5140,1310,20.31,48.86,0.885,0.682,FALSE,0,TRUE
"SCH0085",2024-12-30,"Winter",FALSE,"Monday",FALSE,"NAGERCOIL","TIRUNELVELI",84,1.53,145,"Volvo AC Seater",44,20,2500,17,26,0.591,18,1.051,150,3900,1680,4180,-280,-7.18,46.43,1.131,0.591,FALSE,0,TRUE
"SCH0086",2024-12-19,"Winter",FALSE,"Thursday",FALSE,"CHENNAI KILAMBAKKAM KCBT","SALEM",337,6.13,535,"Volvo AC Semi-Sleeper",40,24,3000,19,32,0.8,8,1.237,660,21120,8088,11088,10032,47.5,62.67,0.8226,0.8,FALSE,0,TRUE
"SCH0087",2025-02-05,"Winter",FALSE,"Wednesday",FALSE,"NAGERCOIL","TIRUNELVELI",84,1.53,145,"Volvo AC Sleeper",36,28,3500,6,27,0.75,9,1.209,175,4725,2352,5852,-1127,-23.85,56.25,1.9352,0.75,FALSE,0,TRUE
"SCH0088",2024-11-03,"Festive",FALSE,"Sunday",TRUE,"CHENNAI KILAMBAKKAM KCBT","THANJAVUR",347,6.31,545,"Volvo AC Semi-Sleeper",40,24,3000,18,37,0.925,3,1.463,795,29415,8328,11328,18087,61.49,84.77,0.8161,0.925,FALSE,0,TRUE
"SCH0089",2025-01-20,"Winter",FALSE,"Monday",FALSE,"CHENNAI KILAMBAKKAM KCBT","TIRUPPUR",480,8.73,750,"Volvo AC Semi-Sleeper",40,24,3000,6,23,0.575,17,1.063,795,18285,11520,14520,3765,20.59,38.09,0.7562,0.575,FALSE,0,TRUE
"SCH0090",2024-11-06,"Festive",FALSE,"Wednesday",FALSE,"BENGALURU","CHENNAI KILAMBAKKAM KCBT",346,6.29,680,"Volvo AC Semi-Sleeper",40,24,3000,18,40,1,0,1.469,1000,40000,8304,11304,28696,71.74,115.61,0.8168,1,TRUE,26,FALSE
"SCH0091",2025-01-29,"Winter",FALSE,"Wednesday",FALSE,"TIRUNELVELI","TRICHY",315,5.73,510,"Volvo AC Sleeper",36,28,3500,10,34,0.944,2,1.399,715,24310,8820,12320,11990,49.32,77.17,1.0864,0.944,FALSE,0,TRUE
"SCH0092",2024-12-31,"Winter",FALSE,"Tuesday",FALSE,"NAGERCOIL","TIRUNELVELI",84,1.53,145,"Volvo AC Semi-Sleeper",40,24,3000,14,29,0.725,11,1.093,160,4640,2016,5016,-376,-8.1,55.24,1.4929,0.725,FALSE,0,TRUE
"SCH0093",2024-11-18,"Festive",FALSE,"Monday",FALSE,"TIRUNELVELI","MADURAI",175,3.18,280,"Volvo AC Semi-Sleeper",40,24,3000,14,38,0.95,2,1.388,390,14820,4200,7200,7620,51.42,84.69,1.0286,0.95,FALSE,0,TRUE
