"booking_id","schedule_id","origin","destination","travel_date","season","is_holiday","bus_type","distance_km","days_in_advance","booking_channel","seat_class","passenger_type","fare_paid_inr","cancellation","refund_inr","net_revenue_inr"
"BK00037","SCH0228","CHENNAI KILAMBAKKAM KCBT","TRICHY",2025-02-12,"Winter",FALSE,"Volvo AC Seater",336,4,"Online","Semi-Sleeper","Adult",565,FALSE,0,565
"BK00038","SCH0388","CHENNAI KILAMBAKKAM KCBT","THANJAVUR",2024-09-26,"Normal",FALSE,"Volvo AC Semi-Sleeper",347,0,"Counter","Semi-Sleeper","Adult",730,FALSE,0,730
"BK00039","SCH0041","CHENNAI KILAMBAKKAM KCBT","TIRUPPUR",2025-02-02,"Winter",FALSE,"Volvo AC Sleeper",480,12,"Phone","Semi-Sleeper","Senior",620,TRUE,465,155
"BK00040","SCH0050","CHENNAI KILAMBAKKAM KCBT","TIRUPPUR",2024-11-30,"Festive",FALSE,"Volvo AC Sleeper",480,10,"Online","Semi-Sleeper","Senior",670,FALSE,0,670
"BK00041","SCH0206","NAGERCOIL","TIRUNELVELI",2024-10-27,"Festive",FALSE,"Volvo AC Sleeper",84,8,"Phone","Sleeper","Adult",140,FALSE,0,140
"BK00042","SCH0226","TIRUNELVELI","TRICHY",2024-12-02,"Winter",FALSE,"Volvo AC Semi-Sleeper",315,0,"Online","Semi-Sleeper","Adult",680,FALSE,0,680
"BK00043","SCH0047","CHENNAI KILAMBAKKAM KCBT","TIRUNELVELI",2024-11-02,"Festive",FALSE,"Volvo AC Seater",631,2,"Online","Semi-Sleeper","Adult",1145,FALSE,0,1145
"BK00044","SCH0263","NAGERCOIL","TRICHY",2025-01-08,"Winter",FALSE,"Volvo AC Sleeper",395,4,"Phone","Semi-Sleeper","Adult",660,FALSE,0,660
"BK00045","SCH0460","NAGERCOIL","MADURAI",2024-09-06,"Normal",FALSE,"Volvo AC Semi-Sleeper",241,30,"Online","Sleeper","Adult",365,FALSE,0,365
"BK00046","SCH0323","THANJAVUR","TRICHY",2025-01-26,"Winter",TRUE,"Volvo AC Sleeper",77,15,"Online","Semi-Sleeper","Adult",100,FALSE,0,100
"BK00047","SCH0412","TIRUCHENDUR","TRICHY",2024-12-14,"Winter",FALSE,"Volvo AC Semi-Sleeper",327,1,"Online","Semi-Sleeper","Adult",670,FALSE,0,670
"BK00048","SCH0161","CHENNAI KILAMBAKKAM KCBT","SALEM",2024-12-30,"Winter",FALSE,"Volvo AC Sleeper",337,16,"Counter","Sleeper","Adult",465,FALSE,0,465
"BK00049","SCH0091","TIRUNELVELI","TRICHY",2025-01-29,"Winter",FALSE,"Volvo AC Sleeper",315,2,"Phone","Sleeper","Adult",610,FALSE,0,610
"BK00050","SCH0159","TIRUNELVELI","TRICHY",2024-11-23,"Festive",FALSE,"Volvo AC Sleeper",315,5,"Online","Sleeper","Adult",525,TRUE,394,131
"BK00051","SCH0300","MADURAI","TRICHY",2025-01-18,"Winter",FALSE,"Volvo AC Seater",135,10,"Agent","Sleeper","Student",185,FALSE,0,185
"BK00052","SCH0489","NAGERCOIL","MADURAI",2025-02-26,"Winter",TRUE,"Volvo AC Sleeper",241,5,"Agent","Sleeper","Student",380,FALSE,0,380
"BK00053","SCH0100","CHENNAI KILAMBAKKAM KCBT","SALEM",2024-12-15,"Winter",FALSE,"Volvo AC Semi-Sleeper",337,8,"Online","Seater","Student",435,FALSE,0,435
"BK00054","SCH0169","CHENNAI KILAMBAKKAM KCBT","MADURAI",2025-02-19,"Winter",FALSE,"Volvo AC Seater",463,17,"Phone","Sleeper","Adult",665,FALSE,0,665
"BK00055","SCH0193","CHENNAI KILAMBAKKAM KCBT","THANJAVUR",2024-09-10,"Normal",FALSE,"Volvo AC Semi-Sleeper",347,10,"Online","Seater","Senior",460,FALSE,0,460
"BK00056","SCH0306","COIMBATORE","SALEM",2024-09-30,"Normal",FALSE,"Volvo AC Sleeper",165,13,"Online","Sleeper","Adult",285,TRUE,214,71
"BK00057","SCH0177","THANJAVUR","TRICHY",2024-10-10,"Festive",FALSE,"Volvo AC Sleeper",77,8,"Agent","Sleeper","Adult",110,FALSE,0,110
"BK00058","SCH0201","NAGERCOIL","MADURAI",2025-01-13,"Winter",FALSE,"Volvo AC Seater",241,24,"Phone","Semi-Sleeper","Adult",375,FALSE,0,375
"BK00059","SCH0187","CHENNAI KILAMBAKKAM KCBT","NAGERCOIL",2024-10-24,"Festive",TRUE,"Volvo AC Semi-Sleeper",680,1,"Online","Sleeper","Adult",1655,FALSE,0,1655
"BK00060","SCH0499","CHENNAI KILAMBAKKAM KCBT","THANJAVUR",2024-11-17,"Festive",FALSE,"Volvo AC Semi-Sleeper",347,27,"Online","Semi-Sleeper","Child",220,FALSE,0,220
"BK00061","SCH0035","THANJAVUR","TRICHY",2024-11-13,"Festive",FALSE,"Volvo AC Seater",77,18,"Online","Semi-Sleeper","Adult",95,TRUE,71,24
"BK00062","SCH0423","CHENNAI KILAMBAKKAM KCBT","SALEM",2024-10-24,"Festive",TRUE,"Volvo AC Semi-Sleeper",337,30,"Counter","Semi-Sleeper","Adult",475,FALSE,0,475
"BK00063","SCH0472","NAGERCOIL","MADURAI",2024-12-24,"Winter",FALSE,"Volvo AC Seater",241,22,"Counter","Sleeper","Adult",345,FALSE,0,345
"BK00064","SCH0172","NAGERCOIL","TIRUNELVELI",2025-02-20,"Winter",FALSE,"Volvo AC Semi-Sleeper",84,1,"Online","Seater","Senior",185,FALSE,0,185
"BK00065","SCH0356","CHENNAI KILAMBAKKAM KCBT","SALEM",2024-12-26,"Winter",FALSE,"Volvo AC Sleeper",337,4,"Agent","Semi-Sleeper","Adult",590,FALSE,0,590
"BK00066","SCH0336","NAGERCOIL","MADURAI",2025-01-25,"Winter",FALSE,"Volvo AC Seater",241,17,"Online","Seater","Student",300,FALSE,0,300
"BK00067","SCH0114","CHENNAI KILAMBAKKAM KCBT","NAGERCOIL",2024-12-16,"Winter",FALSE,"Volvo AC Sleeper",680,14,"Online","Semi-Sleeper","Adult",1050,FALSE,0,1050
"BK00068","SCH0269","TIRUCHENDUR","TRICHY",2024-12-15,"Winter",FALSE,"Volvo AC Seater",327,19,"Counter","Semi-Sleeper","Senior",395,FALSE,0,395
"BK00069","SCH0038","NAGERCOIL","TIRUNELVELI",2024-10-23,"Festive",FALSE,"Volvo AC Semi-Sleeper",84,0,"Online","Seater","Adult",185,FALSE,0,185
"BK00070","SCH0273","CHENNAI KILAMBAKKAM KCBT","TIRUPPUR",2024-11-19,"Festive",FALSE,"Volvo AC Seater",480,30,"Agent","Semi-Sleeper","Senior",620,FALSE,0,620
"BK00071","SCH0189","TIRUCHENDUR","TRICHY",2024-09-26,"Normal",FALSE,"Volvo AC Semi-Sleeper",327,10,"Online","Semi-Sleeper","Adult",525,FALSE,0,525
"BK00072","SCH0022","CHENNAI KILAMBAKKAM KCBT","TIRUCHENDUR",2025-02-11,"Winter",FALSE,"Volvo AC Sleeper",630,6,"Phone","Semi-Sleeper","Adult",1055,FALSE,0,1055
"BK00073","SCH0419","THANJAVUR","TRICHY",2025-02-14,"Winter",FALSE,"Volvo AC Semi-Sleeper",77,25,"Online","Semi-Sleeper","Adult",100,FALSE,0,100
"BK00074","SCH0179","CHENNAI KILAMBAKKAM KCBT","TIRUPPUR",2024-09-10,"Normal",FALSE,"Volvo AC Sleeper",480,12,"Counter","Semi-Sleeper","Adult",720,FALSE,0,720
"BK00075","SCH0431","NAGERCOIL","TRICHY",2024-10-18,"Festive",FALSE,"Volvo AC Semi-Sleeper",395,14,"Online","Semi-Sleeper","Adult",650,FALSE,0,650
"BK00076","SCH0057","CHENNAI KILAMBAKKAM KCBT","NAGERCOIL",2024-10-30,"Festive",FALSE,"Volvo AC Sleeper",680,17,"Phone","Sleeper","Adult",980,FALSE,0,980
"BK00077","SCH0309","TIRUNELVELI","TRICHY",2024-12-27,"Winter",FALSE,"Volvo AC Semi-Sleeper",315,30,"Counter","Sleeper","Adult",445,FALSE,0,445
"BK00078","SCH0235","MADURAI","TRICHY",2024-11-13,"Festive",FALSE,"Volvo AC Sleeper",135,9,"Online","Semi-Sleeper","Adult",210,FALSE,0,210
"BK00079","SCH0452","THANJAVUR","TRICHY",2024-11-26,"Festive",FALSE,"Volvo AC Sleeper",77,7,"Online","Sleeper","Child",60,FALSE,0,60
"BK00080","SCH0365","CHENNAI KILAMBAKKAM KCBT","TIRUCHENDUR",2024-10-03,"Festive",FALSE,"Volvo AC Seater",630,3,"Counter","Semi-Sleeper","Adult",1260,FALSE,0,1260
"BK00081","SCH0064","MADURAI","TRICHY",2024-10-09,"Festive",FALSE,"Volvo AC Semi-Sleeper",135,21,"Online","Semi-Sleeper","Adult",200,FALSE,0,200
"BK00082","SCH0387","CHENNAI KILAMBAKKAM KCBT","TIRUCHENDUR",2024-11-13,"Festive",FALSE,"Volvo AC Sleeper",630,6,"Online","Semi-Sleeper","Adult",1080,FALSE,0,1080
"BK00083","SCH0293","NAGERCOIL","TRICHY",2025-01-03,"Winter",FALSE,"Volvo AC Sleeper",395,6,"Counter","Sleeper","Student",595,FALSE,0,595
"BK00084","SCH0291","NAGERCOIL","TIRUNELVELI",2024-12-01,"Winter",FALSE,"Volvo AC Seater",84,23,"Counter","Sleeper","Senior",110,FALSE,0,110
"BK00085","SCH0451","CHENNAI KILAMBAKKAM KCBT","TIRUNELVELI",2024-09-21,"Normal",FALSE,"Volvo AC Semi-Sleeper",631,0,"Counter","Sleeper","Adult",1345,FALSE,0,1345
"BK00086","SCH0494","TIRUNELVELI","MADURAI",2025-02-09,"Winter",FALSE,"Volvo AC Semi-Sleeper",175,30,"Counter","Sleeper","Student",215,FALSE,0,215
"BK00087","SCH0012","CHENNAI KILAMBAKKAM KCBT","SALEM",2024-11-30,"Festive",FALSE,"Volvo AC Seater",337,7,"Counter","Semi-Sleeper","Adult",560,FALSE,0,560
"BK00088","SCH0115","CHENNAI KILAMBAKKAM KCBT","TRICHY",2025-01-13,"Winter",FALSE,"Volvo AC Sleeper",336,14,"Online","Sleeper","Student",410,FALSE,0,410
"BK00089","SCH0465","CHENNAI KILAMBAKKAM KCBT","TIRUPPUR",2024-10-19,"Festive",FALSE,"Volvo AC Sleeper",480,14,"Online","Semi-Sleeper","Adult",750,FALSE,0,750
"BK00090","SCH0160","BENGALURU","CHENNAI KILAMBAKKAM KCBT",2024-09-11,"Normal",FALSE,"Volvo AC Seater",346,1,"Online","Sleeper","Student",725,FALSE,0,725
"BK00091","SCH0292","CHENNAI KILAMBAKKAM KCBT","TIRUCHENDUR",2024-12-02,"Winter",FALSE,"Volvo AC Sleeper",630,16,"Online","Sleeper","Senior",800,FALSE,0,800
"BK00092","SCH0022","CHENNAI KILAMBAKKAM KCBT","TIRUCHENDUR",2025-02-11,"Winter",FALSE,"Volvo AC Sleeper",630,2,"Online","Sleeper","Adult",1200,FALSE,0,1200
"BK00093","SCH0395","CHENNAI KILAMBAKKAM KCBT","TRICHY",2024-12-28,"Winter",FALSE,"Volvo AC Sleeper",336,8,"Online","Semi-Sleeper","Senior",435,FALSE,0,435
"BK00094","SCH0149","CHENNAI KILAMBAKKAM KCBT","MADURAI",2024-09-20,"Normal",FALSE,"Volvo AC Seater",463,9,"Counter","Semi-Sleeper","Adult",685,FALSE,0,685
"BK00095","SCH0010","NAGERCOIL","TIRUNELVELI",2025-01-31,"Winter",FALSE,"Volvo AC Sleeper",84,18,"Online","Sleeper","Adult",130,FALSE,0,130
"BK00096","SCH0199","CHENNAI KILAMBAKKAM KCBT","COIMBATORE",2024-10-22,"Festive",FALSE,"Volvo AC Sleeper",497,7,"Online","Semi-Sleeper","Adult",890,FALSE,0,890
"BK00097","SCH0382","THANJAVUR","TRICHY",2024-12-23,"Winter",FALSE,"Volvo AC Semi-Sleeper",77,4,"Counter","Semi-Sleeper","Adult",125,FALSE,0,125
"BK00098","SCH0098","CHENNAI KILAMBAKKAM KCBT","NAGERCOIL",2024-11-13,"Festive",FALSE,"Volvo AC Semi-Sleeper",680,4,"Online","Seater","Adult",1185,FALSE,0,1185
"BK00099","SCH0077","CHENNAI KILAMBAKKAM KCBT","TRICHY",2025-02-07,"Winter",FALSE,"Volvo AC Semi-Sleeper",336,0,"Phone","Semi-Sleeper","Adult",740,FALSE,0,740
"BK00100","SCH0056","CHENNAI KILAMBAKKAM KCBT","TIRUCHENDUR",2024-11-29,"Festive",FALSE,"Volvo AC Semi-Sleeper",630,2,"Counter","Sleeper","Adult",1215,FALSE,0,1215
"BK00101","SCH0410","TIRUCHENDUR","TRICHY",2025-02-13,"Winter",FALSE,"Volvo AC Seater",327,18,"Online","Seater","Adult",480,FALSE,0,480
"BK00102","SCH0001","NAGERCOIL","MADURAI",2025-02-06,"Winter",FALSE,"Volvo AC Seater",241,26,"Online","Sleeper","Adult",365,FALSE,0,365
"BK00103","SCH0042","CHENNAI KILAMBAKKAM KCBT","TIRUNELVELI",2025-02-13,"Winter",FALSE,"Volvo AC Sleeper",631,25,"Online","Sleeper","Student",780,FALSE,0,780
"BK00104","SCH0021","CHENNAI KILAMBAKKAM KCBT","MADURAI",2025-01-15,"Winter",TRUE,"Volvo AC Sleeper",463,5,"Online","Semi-Sleeper","Adult",800,FALSE,0,800
"BK00105","SCH0044","TIRUNELVELI","TRICHY",2024-11-08,"Festive",FALSE,"Volvo AC Sleeper",315,14,"Online","Sleeper","Adult",500,FALSE,0,500
"BK00106","SCH0141","CHENNAI KILAMBAKKAM KCBT","TRICHY",2024-09-01,"Normal",FALSE,"Volvo AC Seater",336,3,"Counter","Sleeper","Adult",635,FALSE,0,635
"BK00107","SCH0062","CHENNAI KILAMBAKKAM KCBT","TRICHY",2024-11-25,"Festive",FALSE,"Volvo AC Sleeper",336,13,"Online","Sleeper","Adult",520,FALSE,0,520
"BK00108","SCH0366","NAGERCOIL","MADURAI",2024-10-18,"Festive",FALSE,"Volvo AC Sleeper",241,27,"Online","Semi-Sleeper","Adult",380,FALSE,0,380
"BK00109","SCH0235","MADURAI","TRICHY",2024-11-13,"Festive",FALSE,"Volvo AC Sleeper",135,28,"Online","Semi-Sleeper","Student",170,TRUE,128,42
"BK00110","SCH0079","THANJAVUR","TRICHY",2024-10-05,"Festive",FALSE,"Volvo AC Sleeper",77,13,"Online","Sleeper","Student",95,FALSE,0,95
"BK00111","SCH0249","CHENNAI KILAMBAKKAM KCBT","TRICHY",2025-01-23,"Winter",FALSE,"Volvo AC Semi-Sleeper",336,18,"Online","Sleeper","Adult",445,FALSE,0,445
"BK00112","SCH0466","THANJAVUR","TRICHY",2024-11-23,"Festive",FALSE,"Volvo AC Sleeper",77,14,"Online","Semi-Sleeper","Adult",115,FALSE,0,115
"BK00113","SCH0361","MADURAI","TRICHY",2025-01-25,"Winter",FALSE,"Volvo AC Semi-Sleeper",135,0,"Online","Semi-Sleeper","Adult",290,FALSE,0,290
"BK00114","SCH0088","CHENNAI KILAMBAKKAM KCBT","THANJAVUR",2024-11-03,"Festive",FALSE,"Volvo AC Semi-Sleeper",347,0,"Counter","Seater","Adult",705,FALSE,0,705
"BK00115","SCH0016","NAGERCOIL","MADURAI",2024-12-08,"Winter",FALSE,"Volvo AC Semi-Sleeper",241,11,"Phone","Semi-Sleeper","Adult",420,FALSE,0,420
"BK00116","SCH0346","MADURAI","TRICHY",2025-02-08,"Winter",FALSE,"Volvo AC Sleeper",135,0,"Online","Semi-Sleeper","Adult",285,FALSE,0,285
"BK00117","SCH0218","CHENNAI KILAMBAKKAM KCBT","TIRUNELVELI",2024-09-29,"Normal",FALSE,"Volvo AC Semi-Sleeper",631,18,"Counter","Seater","Adult",885,FALSE,0,885
"BK00118","SCH0212","CHENNAI KILAMBAKKAM KCBT","TRICHY",2025-01-12,"Winter",FALSE,"Volvo AC Sleeper",336,14,"Online","Semi-Sleeper","Senior",455,FALSE,0,455
"BK00119","SCH0438","THANJAVUR","TRICHY",2025-02-09,"Winter",FALSE,"Volvo AC Seater",77,6,"Online","Sleeper","Adult",120,FALSE,0,120
"BK00120","SCH0444","TIRUNELVELI","MADURAI",2025-02-21,"Winter",FALSE,"Volvo AC Sleeper",175,7,"Online","Sleeper","Adult",290,FALSE,0,290
"BK00121","SCH0397","TIRUCHENDUR","TRICHY",2025-02-03,"Winter",FALSE,"Volvo AC Semi-Sleeper",327,11,"Online","Semi-Sleeper","Adult",535,FALSE,0,535
"BK00122","SCH0055","THANJAVUR","TRICHY",2025-02-22,"Winter",FALSE,"Volvo AC Sleeper",77,6,"Online","Sleeper","Student",110,FALSE,0,110
"BK00123","SCH0456","TIRUCHENDUR","MADURAI",2024-11-20,"Festive",FALSE,"Volvo AC Sleeper",195,11,"Online","Sleeper","Adult",315,FALSE,0,315
"BK00124","SCH0457","CHENNAI KILAMBAKKAM KCBT","TIRUCHENDUR",2024-10-25,"Festive",FALSE,"Volvo AC Seater",630,21,"Agent","Semi-Sleeper","Senior",835,FALSE,0,835
"BK00125","SCH0105","CHENNAI KILAMBAKKAM KCBT","TIRUCHENDUR",2024-09-17,"Normal",FALSE,"Volvo AC Semi-Sleeper",630,2,"Online","Sleeper","Adult",1245,FALSE,0,1245
"BK00126","SCH0327","NAGERCOIL","MADURAI",2025-02-14,"Winter",FALSE,"Volvo AC Sleeper",241,3,"Online","Sleeper","Adult",515,TRUE,386,129
"BK00127","SCH0226","TIRUNELVELI","TRICHY",2024-12-02,"Winter",FALSE,"Volvo AC Semi-Sleeper",315,14,"Phone","Seater","Senior",450,TRUE,338,112
"BK00128","SCH0038","NAGERCOIL","TIRUNELVELI",2024-10-23,"Festive",FALSE,"Volvo AC Semi-Sleeper",84,3,"Online","Sleeper","Adult",170,FALSE,0,170
"BK00129","SCH0449","THANJAVUR","TRICHY",2024-12-29,"Winter",FALSE,"Volvo AC Sleeper",77,15,"Counter","Sleeper","Adult",110,FALSE,0,110
"BK00130","SCH0172","NAGERCOIL","TIRUNELVELI",2025-02-20,"Winter",FALSE,"Volvo AC Semi-Sleeper",84,3,"Phone","Seater","Adult",170,FALSE,0,170
"BK00131","SCH0357","CHENNAI KILAMBAKKAM KCBT","TIRUPPUR",2025-01-12,"Winter",FALSE,"Volvo AC Semi-Sleeper",480,10,"Online","Sleeper","Adult",715,FALSE,0,715
"BK00132","SCH0252","TIRUNELVELI","MADURAI",2024-12-13,"Winter",FALSE,"Volvo AC Sleeper",175,5,"Counter","Sleeper","Adult",305,FALSE,0,305
"BK00133","SCH0072","TIRUNELVELI","MADURAI",2025-01-05,"Winter",FALSE,"Volvo AC Semi-Sleeper",175,30,"Phone","Sleeper","Adult",240,FALSE,0,240
"BK00134","SCH0088","CHENNAI KILAMBAKKAM KCBT","THANJAVUR",2024-11-03,"Festive",FALSE,"Volvo AC Semi-Sleeper",347,15,"Agent","Sleeper","Adult",480,FALSE,0,480
"BK00135","SCH0020","NAGERCOIL","MADURAI",2025-02-17,"Winter",FALSE,"Volvo AC Semi-Sleeper",241,11,"Online","Semi-Sleeper","Student",355,FALSE,0,355
"BK00136","SCH0497","NAGERCOIL","MADURAI",2025-02-15,"Winter",FALSE,"Volvo AC Semi-Sleeper",241,7,"Online","Semi-Sleeper","Adult",455,FALSE,0,455
"BK00137","SCH0009","TIRUPPUR","SALEM",2024-12-27,"Winter",FALSE,"Volvo AC Sleeper",132,15,"Agent","Semi-Sleeper","Adult",175,TRUE,131,44
"BK00138","SCH0321","CHENNAI KILAMBAKKAM KCBT","SALEM",2025-01-19,"Winter",FALSE,"Volvo AC Seater",337,5,"Online","Sleeper","Senior",525,FALSE,0,525
"BK00139","SCH0482","THANJAVUR","TRICHY",2024-12-26,"Winter",FALSE,"Volvo AC Sleeper",77,15,"Online","Sleeper","Adult",105,FALSE,0,105
"BK00140","SCH0450","CHENNAI KILAMBAKKAM KCBT","TIRUCHENDUR",2024-11-14,"Festive",FALSE,"Volvo AC Semi-Sleeper",630,7,"Online","Sleeper","Student",905,FALSE,0,905
"BK00141","SCH0476","NAGERCOIL","MADURAI",2024-10-19,"Festive",FALSE,"Volvo AC Semi-Sleeper",241,29,"Agent","Sleeper","Senior",340,FALSE,0,340
"BK00142","SCH0436","CHENNAI KILAMBAKKAM KCBT","TIRUCHENDUR",2025-02-05,"Winter",FALSE,"Volvo AC Semi-Sleeper",630,16,"Counter","Semi-Sleeper","Senior",865,FALSE,0,865
"BK00143","SCH0458","NAGERCOIL","MADURAI",2025-01-12,"Winter",FALSE,"Volvo AC Sleeper",241,17,"Online","Semi-Sleeper","Senior",325,FALSE,0,325
"BK00144","SCH0478","CHENNAI KILAMBAKKAM KCBT","SALEM",2024-10-31,"Festive",FALSE,"Volvo AC Sleeper",337,6,"Agent","Semi-Sleeper","Student",470,FALSE,0,470
